data	source_points	leaf_points	branch_points	segments	import	segment	calculate	lods	
ALS-on_BR01_2019-07-05_300m	12531758	12508612	5383527	4390	1.8609177	3.445734	7.068698	3.7963393	
ALS-on_BR02_2019-07-05_200m	5469363	5457090	2248915	2634	2.758395	1.3865104	3.223103	3.2440124	
ALS-on_BR03_2019-07-05_300m	12284905	12235917	6268300	5740	2.3889375	5.455793	8.657118	7.8300805	
ALS-on_BR04_2019-07-05_140m	2638216	2629231	1225097	1596	0.39473101	0.45217592	1.438697	0.4929891	
ALS-on_BR05_2019-07-05_300m	13401630	13362033	5904834	4911	2.2368784	4.22228	8.847581	3.744276	
ALS-on_BR06_2019-07-05_200m	6269955	6260421	2264327	2274	1.3888736	1.4893687	3.9747393	4.679369	
ALS-on_BR07_2019-07-05_140m	3196739	3183756	1494056	1294	0.7597517	0.46166041	2.3410263	0.5362571	
ALS-on_BR08_2019-07-05_140m	2871871	2860173	1437912	1275	1.3398776	0.643882	1.8461796	2.656083	
ALS-on_KA09_2019-07-05_300m	14536939	14531527	6574613	4585	3.4140892	20.67454	10.223591	5.5721245	
ALS-on_KA10_2019-07-05_300m	13413120	13400728	6616077	4499	2.2865126	20.146294	9.47841	5.303208	
ALS-on_KA11_2019-07-05_300m	14840932	14834281	7197589	5835	2.5342793	31.22837	9.595273	6.171744	
ALS-on_SP02_2019-07-05_140m	2810265	2803582	1330103	1456	0.6984197	0.6947239	1.8419981	0.53202426	
TLS-on_BR01_2019-07-03	349902555	349880861	101402285	1122	56.5362	25.62133	850.0152	454.94376	
TLS-on_BR02_2019-06-13	206306919	206277122	50951743	2955	37.027145	18.922485	381.62796	248.83273	
TLS-on_BR03_2019-06-04_B	71067156	71056700	18813597	714	11.495006	5.243341	121.243835	52.736393	
TLS-on_BR04_2019-07-04	326741799	326718896	91369208	1813	59.84043	23.269152	660.75275	469.44565	
TLS-on_BR05_2019-07-10	418794802	418764606	119672624	2967	81.2453	38.45415	970.32184	657.40424	
TLS-on_BR06_2019-07-22_B	124075064	124048349	25323813	1898	18.812775	8.926718	194.27145	109.48297	
TLS-on_BR07_2019-07-19_B	308965997	308937292	80092920	2627	51.77729	25.080462	635.5216	452.38135	
TLS-on_BR08_2019-07-23	417738648	417716948	111295554	1937	78.77958	33.562416	1060.7207	734.37335	
TLS-on_KA09_2019-08-20_A	261723907	261705346	74651193	1261	38.9876	22.06889	562.83105	346.01025	
TLS-on_KA10_2019-07-30_B	283197972	283176980	81713068	1380	47.883835	33.695774	613.5969	422.59204	
TLS-on_KA11_2019-09-03_B	273795041	273770543	61803916	1824	43.516457	26.664501	706.2042	393.05884	
TLS-on_SP02_2019-08-23_B	252267714	252246056	77190719	1558	36.764072	19.562035	605.2492	327.25937	
ULS-off_BR01_2019-12-04	52179533	52149914	21465668	2712	14.804896	6.8417807	50.851448	42.39213	
ULS-off_BR05_2020-03-26	52169435	52118747	21484710	4170	9.181316	8.12015	52.26954	31.355436	
ULS-off_BR06_2020-03-27	60182129	60117592	20480701	5909	9.932232	13.339712	57.18319	38.78749	
ULS-off_BR08_2020-03-31	66483369	66432982	26880086	6036	12.951753	21.605787	64.968895	51.375145	
ULS-on_BR02_2019-08-24	41555427	41431426	19737224	5248	16.69276	9.849931	37.769207	23.975025	
ULS-on_BR0308_2019-08-24	83344946	83193255	37410691	7266	11.355978	24.10618	92.91681	61.73306	
ULS-on_BR07_2019-08-24	46833772	46708265	18287517	6227	17.608137	10.172847	41.4964	36.860535	
ULS-on_KA09_2019-09-13	50863340	50723815	22030809	6007	19.92303	34.090763	44.83255	39.612854	
ULS-on_KA10_2019-09-13	48167924	48030861	23080707	5638	10.368547	28.78788	46.987415	40.57933	
ULS-on_KA11_2019-09-06	58549518	58459850	26676462	5834	11.913675	39.09122	47.891563	42.77556	
ULS-on_SP02_2019-09-03	30811866	30761609	12827262	2936	6.447726	7.2568164	27.668728	22.448013	
